episode,filename,title,duration,bytes,sha256
1,01-prologue-approaching-teotihuacan.mp3,Prologue — Approaching Teotihuacan,3:19,3186018,704439d9261dc4843b07d0376010302c99c6f36c7186535d4cf78fba8ae31e76
2,02-teotihuacan-city-of-the-gods.mp3,Teotihuacan — City of the Gods,6:09,5906074,e32702bb119c7e73d92b3a326551fad32e6191891897b23f9ba34b289cd646fe
3,03-pyramid-of-the-sun.mp3,Pyramid of the Sun,12:04,11584892,29967e0325978c61d33c46cb6d0c9eb20415c7eeb04fe4cd7d94f7ab946e8a73
4,04-avenue-of-the-dead-master-plan.mp3,The Avenue of the Dead & the City’s Master Plan,7:21,7058007,0b141668c0c7b3be2374beca8e22a3a913c50041fa84ac82d7a0542b84700f5f
5,05-ciudadela-feathered-serpent.mp3,The Ciudadela & Feathered Serpent Pyramid,11:01,10576792,b5e3e62ffb658e2124e35bc40648387ecac5b7307955220c9b3064438b101368
6,06-the-community.mp3,The Community — Life in Teotihuacan,7:39,7346363,12252a855eb2daf05a182227f6c1c6e0e91c91c913c08591863800ac440cee29
7,07-plaza-pyramid-of-the-moon.mp3,Plaza & Pyramid of the Moon,9:31,9135245,c28e6fd0faebadaddf23cedb4baa0bfa811e15ea9c841bb04d8842b7bc7da179
8,08-quetzalpapalotl-complex.mp3,The Quetzalpapálotl Complex,7:46,7465075,13df20d43675d0a69f4b4e5700eaa221ec0c133d0cfab66880309a69a2df7ac0
9,09-collapse-of-teotihuacan.mp3,The Collapse of Teotihuacan,9:02,8679662,816e2c7bf9d267c328af36d90ffff8da738829195656dcee2a6553b2cec142fb
10,10-final-conclusion.mp3,Final Conclusion,4:53,4694416,5eaa1d053aee222d6a9f6585530eb2f9aeae3dc89de5f78e6258b54cb9f4ae72
